cv,param,metrics,val_acc,matrix
cv1,hidden_layer_sizes,100,0.73242928,"[[ 265    0    0    0    1    0    0    0    0    0   20]
 [   0  414    0    0   23    3    3    0   27  117    4]
 [   0    0   25    0    0    0    0    0    1    0    2]
 [   1    0    0    0    1    1    2    0    3    1    1]
 [   0   10    0    0  365   18   66    0   90   69    0]
 [   0    5    0    0   23   43    7    0   26   83    0]
 [   0    0    0    0   72    6  116    0   89   23    0]
 [   1    0    0    0    0    0    0  788   89    0    0]
 [   1   29    0    0   48   11   56   70 1554  308    0]
 [   0   38    0    0   55   21   15    0  226 1310    2]
 [  53    8    0    0    2    0    0    3    1    0  143]]"
cv1,hidden_layer_sizes,"(100, 100)",0.738553514,"[[ 258    0    0    0    0    0    0    1    0    0   27]
 [   0  432    0    0   22    4    3    0   26  101    3]
 [   0    0   25    0    0    0    1    0    0    0    2]
 [   1    0    0    0    1    1    3    0    2    1    1]
 [   0   18    0    1  362   20   73    0   93   51    0]
 [   0    5    0    0   25   43    8    0   29   77    0]
 [   0    1    0    0   75   10  117    0   83   20    0]
 [   1    0    0    0    0    0    0  790   87    0    0]
 [   1   28    0    0   47   17   53   61 1592  278    0]
 [   0   39    0    0   49   27   14    0  236 1300    2]
 [  54    4    0    1    1    0    0    2    1    1  146]]"
cv1,hidden_layer_sizes,300,0.734324876,"[[ 259    0    0    0    0    0    0    1    0    0   26]
 [   0  418    0    0   21    3    5    0   23  118    3]
 [   0    0   25    0    0    0    0    0    1    0    2]
 [   1    0    0    0    2    1    2    0    2    1    1]
 [   0   10    0    0  367   16   65    0   97   63    0]
 [   0    3    0    0   21   42    7    0   30   84    0]
 [   0    3    0    0   73    9  112    0   84   24    1]
 [   1    0    0    0    0    0    0  790   87    0    0]
 [   2   23    0    0   59   12   50   53 1551  327    0]
 [   0   29    0    0   56   17   20    0  213 1330    2]
 [  56    7    0    0    1    0    0    1    2    1  142]]"
cv1,hidden_layer_sizes,"(300, 300)",0.737532808,"[[ 254    0    0    0    0    0    0    0    0    0   32]
 [   0  432    0    0   21    6    3    0   33   93    3]
 [   0    1   24    0    0    0    1    0    0    0    2]
 [   1    0    0    0    1    1    3    0    2    1    1]
 [   0   12    0    0  367   22   72    0   78   67    0]
 [   0    6    0    0   23   47    8    0   27   76    0]
 [   0    2    0    0   69   12  124    0   79   19    1]
 [   1    0    0    0    0    0    0  800   77    0    0]
 [   1   32    0    1   60   16   61   70 1521  315    0]
 [   0   49    0    0   58   23   17    0  186 1333    1]
 [  46    5    0    0    1    0    0    0    1    1  156]]"
cv2,hidden_layer_sizes,100,0.74015748,"[[ 256    0    0    0    0    0    0    3    1    0   26]
 [   0  442    0    0   18    6    3    0   27   94    1]
 [   0    2   22    0    0    0    0    0    2    1    1]
 [   0    0    0    0    1    0    2    0    4    1    2]
 [   0   15    0    0  384   21   58    0   66   74    0]
 [   0    8    0    0   18   61    4    0   29   67    0]
 [   0    4    0    0   82   14   92    0   96   18    0]
 [   0    0    0    0    0    0    0  804   74    0    0]
 [   2   17    0    0   68    6   58   79 1559  288    0]
 [   0   54    0    0   50   25   15    0  214 1307    2]
 [  43    6    0    0    3    1    1    3    0    4  149]]"
cv2,hidden_layer_sizes,"(100, 100)",0.739428405,"[[ 260    0    0    0    0    0    0    1    1    0   24]
 [   0  441    0    0   17    3    3    0   32   94    1]
 [   0    1   23    0    0    1    0    0    2    0    1]
 [   0    0    0    0    2    0    2    0    4    0    2]
 [   0   14    0    0  390   18   57    0   64   75    0]
 [   0   12    0    0   20   57    5    0   21   71    1]
 [   0    1    0    0   75   15  108    0   90   17    0]
 [   0    0    0    0    0    0    0  803   75    0    0]
 [   0   17    0    0   77    7   57   87 1531  301    0]
 [   0   56    0    0   56   22   17    0  207 1307    2]
 [  44    4    1    0    3    1    1    2    0    3  151]]"
cv2,hidden_layer_sizes,300,0.730242053,"[[ 257    1    0    0    0    0    0    4    0    1   23]
 [   0  442    0    0   20    6    3    0   24   95    1]
 [   0    2   22    0    0    0    0    0    2    1    1]
 [   0    1    0    0    3    0    2    0    1    2    1]
 [   0   17    0    0  399   17   57    0   60   68    0]
 [   0   12    0    0   22   52    4    0   25   72    0]
 [   0    3    0    0   90   10  100    1   83   19    0]
 [   0    0    0    0    0    0    0  814   64    0    0]
 [   2   26    0    0   79    5   56   96 1472  341    0]
 [   0   52    0    0   68   20   18    0  204 1303    2]
 [  43    6    0    0    4    1    1    3    0    5  147]]"
cv2,hidden_layer_sizes,"(300, 300)",0.734470691,"[[ 261    1    0    0    0    0    0    0    2    0   22]
 [   0  465    0    0   13    2    4    0   21   84    2]
 [   0    2   21    0    0    2    1    0    1    1    0]
 [   0    1    0    0    2    1    2    0    1    2    1]
 [   1   23    0    0  367   17   64    0   50   96    0]
 [   0    8    1    0   24   39    5    0   23   86    1]
 [   0    3    0    1   82   10   96    0   85   29    0]
 [   0    0    0    0    0    0    0  807   71    0    0]
 [   1   32    0    0   74   15   68  104 1431  351    1]
 [   0   62    0    0   41   11   12    0  137 1403    1]
 [  46    7    0    0    4    0    1    1    1    3  147]]"
cv3,hidden_layer_sizes,100,0.738116069,"[[ 256    1    0    0    0    0    1    2    0    1   25]
 [   0  448    0    0   11    6    1    0   22  102    1]
 [   1    1   22    0    0    1    0    0    1    0    2]
 [   0    0    0    0    2    0    1    0    4    0    3]
 [   0   12    0    0  367   12   62    0   73   92    0]
 [   0    1    0    0   14   62    6    0   24   80    0]
 [   0    1    0    0   89    7  114    0   75   20    0]
 [   0    0    0    0    1    0    0  794   83    0    0]
 [   0    6    0    0   71   11   57   85 1529  318    0]
 [   0   36    0    0   50   24   10    0  217 1327    3]
 [  48    6    0    0    2    0    2    2    2    5  143]]"
cv3,hidden_layer_sizes,"(100, 100)",0.742782152,"[[ 258    1    0    0    0    0    0    3    0    0   24]
 [   1  445    0    0   13    7    2    0   19  104    0]
 [   1    1   23    0    0    1    0    0    0    0    2]
 [   0    0    0    0    2    0    2    0    2    0    4]
 [   0   10    0    0  376   17   66    0   75   74    0]
 [   0    1    0    0   20   59    9    0   24   74    0]
 [   0    1    0    0   79    8  126    1   75   16    0]
 [   0    0    0    0    1    0    0  806   71    0    0]
 [   0   10    0    0   85   13   52   88 1522  307    0]
 [   0   35    0    0   49   33    9    0  202 1336    3]
 [  51    5    0    0    2    1    1    0    4    3  143]]"
cv3,hidden_layer_sizes,300,0.738261884,"[[ 255    2    0    0    0    0    0    3    0    2   24]
 [   1  444    0    0   13    5    1    0   24  102    1]
 [   1    1   22    0    0    1    1    0    0    1    1]
 [   0    0    0    0    2    0    2    0    2    0    4]
 [   0   12    0    0  368   15   62    0   79   82    0]
 [   0    2    0    0   18   65    9    0   25   68    0]
 [   0    0    0    0   80    7  123    1   75   20    0]
 [   0    0    0    0    1    0    0  812   65    0    0]
 [   0   15    0    0   79   12   52   87 1522  310    0]
 [   0   43    0    0   48   30   10    0  216 1317    3]
 [  55    5    0    0    3    0    1    2    5    4  135]]"
cv3,hidden_layer_sizes,"(300, 300)",0.701224847,"[[ 214    1    0    1    0    0    0    0    1    0   69]
 [   1  457    0    0   29   10    3    0   15   74    2]
 [   1    0   25    0    0    0    1    0    0    0    1]
 [   0    0    1    0    4    0    1    0    0    0    4]
 [   0   12    0    2  438   27   59    1   44   35    0]
 [   0    5    0    3   34   79    6    0   17   43    0]
 [   0    1    0    3  112    9  120    2   52    7    0]
 [   0    0    0    0    1    0    1  812   64    0    0]
 [   0   26    1    3  155   35  103  130 1419  205    0]
 [   0   61    0    3  140  116   20    0  241 1082    4]
 [  30    4    1    0    4    1    2    0    2    3  163]]"
cv4,hidden_layer_sizes,100,0.739720035,"[[ 268    0    0    0    0    0    2    0    0    0   16]
 [   0  435    0    0   21    6    2    1   28   95    3]
 [   0    0   23    0    1    0    0    0    1    0    3]
 [   0    0    0    0    3    0    3    0    0    1    3]
 [   0   17    0    0  355   22   73    0   79   72    0]
 [   0    4    0    0   22   64    7    0   25   65    0]
 [   0    2    0    0   68   10  126    0   80   20    0]
 [   1    0    0    0    0    0    0  819   58    0    0]
 [   1   20    0    0   71   13   34   81 1560  297    0]
 [   0   38    0    0   61   24   19    0  253 1272    0]
 [  48    2    0    0    7    0    0    0    1    1  151]]"
cv4,hidden_layer_sizes,"(100, 100)",0.740011665,"[[ 260    0    0    0    1    0    0    0    0    0   25]
 [   0  436    0    0   25    7    2    0   24   93    4]
 [   0    1   23    0    0    0    1    0    0    0    3]
 [   0    0    1    1    1    0    5    0    0    1    1]
 [   0   15    0    0  360   22   65    0   82   74    0]
 [   0    5    0    0   25   59    7    0   32   59    0]
 [   0    2    0    0   83    7  117    0   78   19    0]
 [   1    0    0    0    0    0    0  823   54    0    0]
 [   0   17    0    0   68   16   33   71 1553  318    1]
 [   0   43    0    0   61   25   19    0  236 1283    0]
 [  41    2    0    0    5    0    0    0    1    1  160]]"
cv4,hidden_layer_sizes,300,0.735199767,"[[ 265    0    0    0    0    1    1    1    0    0   18]
 [   0  441    0    0   19    6    2    0   31   89    3]
 [   0    0   25    0    1    0    0    0    0    0    2]
 [   0    1    1    0    2    0    3    0    0    1    2]
 [   0   15    0    0  352   20   70    0   85   76    0]
 [   0    4    0    0   23   62    4    0   26   68    0]
 [   0    2    0    0   75    8  118    0   82   21    0]
 [   1    0    0    0    0    0    0  815   62    0    0]
 [   1   17    0    0   70   16   35   78 1522  338    0]
 [   0   43    0    0   71   20   17    0  230 1286    0]
 [  45    1    0    0    5    0    0    0    2    1  156]]"
cv4,hidden_layer_sizes,"(300, 300)",0.731408574,"[[ 259    0    0    0    0    0    0    0    0    0   27]
 [   0  450    0    0   18    6    1    0   25   87    4]
 [   0    1   22    0    0    0    2    0    1    0    2]
 [   0    1    0    0    1    0    3    0    1    2    2]
 [   0   17    0    0  369   22   68    0   70   72    0]
 [   0    5    0    0   24   60    9    0   19   69    1]
 [   0    1    0    0   75    9  124    0   78   19    0]
 [   1    0    0    0    0    0    0  818   59    0    0]
 [   1   22    0    0   75   10   43   86 1481  359    0]
 [   0   47    0    0   73   43   19    0  206 1278    1]
 [  45    2    0    0    5    1    0    0    1    1  155]]"
cv5,hidden_layer_sizes,100,0.738116069,"[[ 251    1    0    0    0    0    2    2    0    1   29]
 [   0  434    0    0   13    8    2    0   37   93    4]
 [   2    0   23    0    0    0    0    0    1    0    2]
 [   0    0    0    0    0    2    2    0    2    0    4]
 [   0   11    0    0  376   15   60    0   84   71    1]
 [   0    5    0    0   14   53    7    0   20   86    2]
 [   0    2    0    0   81   11  120    2   73   17    0]
 [   0    0    0    0    0    0    0  805   73    0    0]
 [   0   23    0    0   71   11   40   74 1572  286    0]
 [   0   41    0    0   68   21    9    0  249 1276    3]
 [  45    1    0    0    3    0    1    4    0    4  152]]"
cv5,hidden_layer_sizes,"(100, 100)",0.736657918,"[[ 252    1    0    0    0    0    0    2    0    1   30]
 [   0  438    0    0   16    5    1    0   39   88    4]
 [   2    0   22    0    1    0    0    0    1    0    2]
 [   0    0    0    0    2    1    2    0    2    0    3]
 [   0   14    0    0  387   18   53    0   76   69    1]
 [   0    8    0    0   20   52    4    0   17   85    1]
 [   0    3    0    0   77   13  119    0   75   19    0]
 [   0    0    0    0    0    0    0  816   62    0    0]
 [   0   25    0    0   71   12   60   82 1530  297    0]
 [   1   52    0    0   69   27   12    0  222 1281    3]
 [  45    3    0    0    1    0    1    3    0    2  155]]"
cv5,hidden_layer_sizes,300,0.740303295,"[[ 256    1    0    0    1    0    0    1    0    1   26]
 [   0  435    0    0   12    7    1    0   34   97    5]
 [   2    0   23    0    0    0    0    0    1    0    2]
 [   0    0    0    0    1    1    2    0    2    0    4]
 [   0   12    0    0  381   17   59    0   76   73    0]
 [   0    6    0    0   18   45    7    0   19   91    1]
 [   0    3    0    0   80   10  124    0   71   18    0]
 [   0    0    0    0    0    0    0  808   70    0    0]
 [   0   20    0    0   70   10   44   83 1523  327    0]
 [   0   41    0    0   62   14    9    0  209 1329    3]
 [  47    2    0    0    2    0    1    3    0    2  153]]"
cv5,hidden_layer_sizes,"(300, 300)",0.72615923,"[[ 222    0    0    1    1    1    1    1    1    1   57]
 [   0  413    0    0   14   15    6    0   34  107    2]
 [   2    0   22    0    0    1    1    0    0    0    2]
 [   0    0    0    0    0    2    3    0    4    0    1]
 [   0    3    0    1  309   54  108    0   79   64    0]
 [   0    3    0    0    5   87   10    0   19   62    1]
 [   0    3    0    0   50   21  155    0   64   13    0]
 [   0    0    0    0    0    0    0  773  105    0    0]
 [   0   13    0    0   40   38   71   53 1567  295    0]
 [   0   17    0    0   40  102   17    0  226 1263    2]
 [  26    2    0    0    4    1    1    2    1    4  169]]"