cv,matrix,val_acc,metrics,param
cv1,"[[ 279    0    0    0    0    0    0    0    0    0    7]
 [   0  356    0    0   24    0    0    0    5  201    5]
 [   0    1   24    0    0    0    0    0    1    0    2]
 [   1    0    0    0    2    0    0    0    3    3    1]
 [   0    1    0    0  390    0   14    0   83  130    0]
 [   0    0    0    0   15    0    1    0   11  160    0]
 [   0    0    0    0  131    0   37    0  105   33    0]
 [   1    0    0    0    0    0    0  821   56    0    0]
 [   2    0    0    0   72    0    8   80 1404  511    0]
 [   0    0    0    0   74    0    3    0   61 1527    2]
 [  83    1    0    0    1    0    0    0    0    3  122]]",0.723242928,rbf,kernel
cv2,"[[ 273    0    0    0    0    0    0    0    0    0   13]
 [   0  390    0    0   16    0    0    0   12  169    4]
 [   0    3   20    0    0    0    0    0    2    2    1]
 [   0    0    0    0    3    0    1    0    2    2    2]
 [   0    2    0    0  409    0    4    0   69  134    0]
 [   0    0    0    0   13    0    0    0   14  159    1]
 [   0    0    0    0  128    0   27    0  119   32    0]
 [   0    0    0    0    1    0    0  825   52    0    0]
 [   1    5    0    0   82    0   11  101 1397  480    0]
 [   0    1    0    0   56    0    3    0   74 1530    3]
 [  72    0    0    0    4    0    0    0    0    8  126]]",0.728638087,rbf,kernel
cv3,"[[ 275    1    0    0    0    0    0    0    0    0   10]
 [   0  403    0    0   11    0    0    0    5  169    3]
 [   1    2   22    0    1    0    0    0    0    1    1]
 [   0    0    0    0    4    0    0    0    1    1    4]
 [   0    2    0    0  380    0    8    0   82  146    0]
 [   0    0    0    0   12    0    0    0   13  162    0]
 [   0    1    0    0  128    0   40    0  115   22    0]
 [   1    0    0    0    1    0    0  818   58    0    0]
 [   0    0    0    0   82    0   17  109 1397  472    0]
 [   0    1    0    0   62    0    4    0   47 1550    3]
 [  79    1    0    0    1    0    1    0    0   10  118]]",0.729512978,rbf,kernel
cv4,"[[ 279    0    0    0    0    0    0    0    0    1    6]
 [   0  386    0    0   10    0    0    0   13  177    5]
 [   0    2   22    0    0    0    0    0    1    1    2]
 [   0    0    0    0    3    0    1    0    3    1    2]
 [   0    0    0    0  374    0   12    0   79  152    1]
 [   0    0    0    0   13    0    2    0    9  163    0]
 [   0    0    0    0  128    0   31    0  109   38    0]
 [   1    0    0    0    0    0    0  834   43    0    0]
 [   2    0    0    0   85    0   13   87 1396  494    0]
 [   0    2    0    0   79    0    6    0   65 1514    1]
 [  74    0    0    0    3    0    0    0    0    3  130]]",0.724117819,rbf,kernel
cv5,"[[ 272    1    0    0    0    0    0    0    0    2   11]
 [   0  375    0    0   14    0    0    0   10  185    7]
 [   2    0   21    0    1    0    0    0    2    0    2]
 [   0    0    0    0    2    0    0    0    3    1    4]
 [   0    1    0    0  413    0    6    0   74  123    1]
 [   0    0    0    0   11    0    2    0    7  166    1]
 [   0    1    0    0  122    0   42    0  109   32    0]
 [   1    0    0    0    0    0    0  836   41    0    0]
 [   0    1    0    0   82    0   10   94 1415  475    0]
 [   0    0    0    0   61    0    0    0   66 1537    3]
 [  67    0    0    0    2    0    0    1    0    3  137]]",0.736074657,rbf,kernel
cv1,"[[ 255    0    0    0    0    0    0    0    0    0   31]
 [   0  477    0    0   22    1    2    0   15   71    3]
 [   0    0   25    0    0    0    1    0    0    0    2]
 [   1    0    0    0    2    1    2    0    2    1    1]
 [   0   12    0    0  390   21   76    0   66   53    0]
 [   0    5    0    0   27   64    7    0   25   59    0]
 [   0    3    0    0   83    7  126    0   68   19    0]
 [   1    0    0    0    0    0    0  798   79    0    0]
 [   2   35    0    0   89   22   67   58 1589  215    0]
 [   0   50    0    0  104   48   22    0  199 1242    2]
 [  51    3    0    0    1    0    0    0    1    2  152]]",0.746281715,lin,kernel
cv2,"[[ 240    0    0    0    0    0    0    0    0    0   46]
 [   0  498    0    0   11    2    3    0   21   53    3]
 [   0    0   23    0    0    1    1    0    0    1    2]
 [   0    0    0    0    2    1    3    0    2    0    2]
 [   0   15    0    0  403   23   63    0   59   55    0]
 [   0   10    0    0   29   63    4    0   23   58    0]
 [   0    6    0    0   88   12  121    1   69    9    0]
 [   0    0    0    0    0    0    0  809   69    0    0]
 [   1   42    0    0   98   17   69   70 1583  197    0]
 [   0   66    0    0   76   52   21    0  193 1256    3]
 [  41    3    0    0    5    1    1    0    1    4  154]]",0.750947798,lin,kernel
cv3,"[[ 250    0    0    0    0    0    0    0    0    0   36]
 [   0  495    0    0   11    5    0    0   19   58    3]
 [   1    1   23    0    1    1    0    0    0    0    1]
 [   0    0    0    0    2    0    1    0    3    0    4]
 [   0   16    0    0  392   16   67    0   62   65    0]
 [   0    5    0    0   21   77    5    0   23   56    0]
 [   0    1    0    0   95    8  124    0   69    9    0]
 [   1    0    0    0    0    0    1  805   71    0    0]
 [   0   39    0    0  103   22   62   83 1586  182    0]
 [   0   47    0    0   73   65   15    0  207 1257    3]
 [  50    6    0    0    2    0    1    0    4    1  146]]",0.751676874,lin,kernel
cv4,"[[ 250    0    0    0    1    0    0    0    0    0   35]
 [   0  496    0    0   12    6    2    0   13   57    5]
 [   0    0   24    0    0    0    1    0    0    1    2]
 [   0    1    0    0    0    0    4    0    1    2    2]
 [   0   19    0    0  380   21   70    0   66   62    0]
 [   0    7    0    0   21   71    9    0   26   53    0]
 [   0    4    0    0   94    5  123    1   66   13    0]
 [   1    0    0    0    0    0    0  820   57    0    0]
 [   2   49    1    0  103   24   75   73 1534  216    0]
 [   0   66    0    0   99   43   21    0  215 1222    1]
 [  54    2    0    0    3    0    0    0    0    2  149]]",0.739136775,lin,kernel
cv5,"[[ 249    0    0    0    1    0    0    0    0    1   35]
 [   0  474    0    0   17    8    2    0   22   64    4]
 [   2    1   23    0    0    0    1    0    0    0    1]
 [   0    0    0    0    4    1    1    0    1    0    3]
 [   0   11    0    0  407   25   67    0   54   54    0]
 [   0    8    0    0   28   64    8    0   22   56    1]
 [   0    7    0    0   86   12  129    0   59   13    0]
 [   1    0    0    0    0    0    0  814   63    0    0]
 [   0   42    0    0   92   17   73   62 1620  171    0]
 [   0   73    0    0   88   45   19    0  201 1238    3]
 [  41    1    0    0    1    0    1    1    1    1  163]]",0.755468066,lin,kernel